# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
bhāṇḍāvakaśa-da-                        	BARqAvakaSada
bhāga-dheyā-                            	BAgaDeyA
bhāga-mātre                             	BAgamAtre
bhāgya-śālin-                           	BAgyaSAlin
bhāgya-vihīna-                          	BAgyavihIna
bhāgya-yuta-                            	BAgyayuta
bhānu-prabhāsaṃjanitābhrapaṅkti-        	BAnupraBAsaMjanitABrapaNkti
bhānu-tejas-                            	BAnutejas
bhāra-vodhṛ-                            	BAravoDf
bhās-satya-                             	BAssatya
bhāsvara-śukla-                         	BAsvaraSukla
bhāvābhāva-kara-                        	BAvABAvakara
bhāva-bheda-                            	BAvaBeda
bhāva-dvayadharmatva-                   	BAvadvayaDarmatva
bhāva-nirvṛtti-                         	BAvanirvftti
bhāva-pratyaya-                         	BAvapratyaya
bhāva-sādhana-                          	BAvasADana
bhāva-vācana-                           	BAvavAcana
bhīma-bhavārṇava-                       	BImaBavArRava
bhīta-paritrāṇa-                        	BItaparitrARa
bhīti-nātitaka-                         	BItinAtitaka
bhauma-dina-                            	BOmadina
bhūmi-maṇi-                             	BUmimaRi
bhūmi-sāṃrājya-                         	BUmisAMrAjya
bhūmi-saṃniveṣa-                        	BUmisaMniveza
bhūrja-tvac-                            	BUrjatvac
bhūta-bhavin-                           	BUtaBavin
bhūta-saṃpṛkta-                         	BUtasaMpfkta
bhūti-śita-                             	BUtiSita
bhaṅgā-vana-                            	BaNgAvana
bhadra-muṣṭa-                           	Badramuzwa
bhaga-cumbana-                          	Bagacumbana
bhaga-harin-                            	Bagaharin
bhagna-daṃṣtra-                         	BagnadaMztra
bhaja-govinda-                          	Bajagovinda
bhakti-hina-                            	Baktihina
bhakty-upahṛta-                         	Baktyupahfta
bharata-kula-                           	Baratakula
bhartṛ-prāpti-                          	BartfprApti
bhavābdhi-pāra-                         	BavAbDipAra
bhava-gandhita-                         	BavaganDita
bhava-grahat-                           	Bavagrahat
bhava-mokṣa-                            	Bavamokza
bhava-pratyaya-                         	Bavapratyaya
bhavat-kṛte                             	Bavatkfte
bhavat-pārśve                           	BavatpArSve
bhaviṣya-phala-                         	BavizyaPala
bhaviṣya-parvan-                        	Bavizyaparvan
bhaṭṭa-gopala-                          	Bawwagopala
bhayānaka-rasa-                         	BayAnakarasa
bheda-bīja-                             	BedabIja
bheda-prathā-                           	BedapraTA
bheda-prasakti-                         	Bedaprasakti
bheda-rūpa-                             	BedarUpa
bheda-traya-                            	Bedatraya
bhṛti-jīvin-                            	BftijIvin
bhikṣā-kapala-                          	BikzAkapala
bhinna-jatīya-                          	BinnajatIya
bhoga-sīla-                             	BogasIla
bhogya-rūpa-                            	BogyarUpa
bhoktṛ-bhāva-                           	BoktfBAva
bhrāmarī-prāṇāyāma-                     	BrAmarIprARAyAma
bhrānti-jīvana-                         	BrAntijIvana
bhrānti-kālīna-                         	BrAntikAlIna
bhrānti-velā-                           	BrAntivelA
bhrātṛ-han-                             	BrAtfhan
bhrū-tāṇḍava-                           	BrUtARqava
bhujaṅga-śatru-                         	BujaNgaSatru
bhujaṅginī-mudrā-                       	BujaNginImudrA
chāttra-samūha-                         	CAttrasamUha
chāyā-śarīra-                           	CAyASarIra
chando-bhaṅga-                          	CandoBaNga
dhī-doṣa-                               	DIdoza
dhī-guhā-                               	DIguhA
dhī-mātrakopādhi-                       	DImAtrakopADi
dhūrya-vāha-                            	DUryavAha
dhaírya-1                               	Dairya
dhana-śani-                             	DanaSani
dhanur-ākara-                           	DanurAkara
dhanur-grahin-                          	Danurgrahin
dhanyatāṃ-manya-                        	DanyatAMmanya
dhanyatvaṃ-manya-                       	DanyatvaMmanya
dharma-patni-                           	Darmapatni
dhavala-tara-                           	Davalatara
dhig-kāra-                              	DigkAra
dhvani-kārikā-                          	DvanikArikA
dhyāna-heya-                            	DyAnaheya
dhyāna-ja-                              	DyAnaja
dhyāna-nirmathanābhyāsa-                	DyAnanirmaTanAByAsa
ṝd-ānta-                                	FdAnta
ghaṇṭā-phalaka-                         	GaRwAPalaka
ghana-śyama-                            	GanaSyama
ghaṭa-bhāva-                            	GawaBAva
ghaṭa-dharma-                           	GawaDarma
ghaṭa-śuddhi-                           	GawaSudDi
ghaṭa-saṃbandha-                        	GawasaMbanDa
ghaṭa-yoga-                             	Gawayoga
ghṛta-prāsa-                            	GftaprAsa
ghṛta-prāsana-                          	GftaprAsana
ghrāṇa-cakṣuṣ-                          	GrARacakzuz
